Concelho,Nível de Tensão,Ano,Mês,CPEs_Doméstico,CPEs_Iluminação Pública,CPEs_Não Doméstico,CPEs_Outros
Alcanena,"Muito Alta, Alta e Média Tensões",2022,4,0.0,0.0,101.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,5,0.0,0.0,101.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,6,0.0,0.0,101.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,7,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,8,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,9,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,10,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,11,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,12,0.0,0.0,101.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,1,0.0,0.0,99.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,2,0.0,0.0,99.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,3,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,4,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,5,0.0,0.0,100.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,6,0.0,0.0,99.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,7,0.0,0.0,99.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,8,0.0,0.0,99.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,9,0.0,0.0,99.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,10,0.0,0.0,98.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,11,0.0,0.0,97.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2023,12,0.0,0.0,97.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2024,1,0.0,0.0,97.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2024,2,0.0,0.0,97.0,0.0
Alcanena,"Muito Alta, Alta e Média Tensões",2024,3,0.0,0.0,97.0,0.0
Alcobaça,Baixa Tensão,2022,3,30295.0,512.0,7276.0,280.0
Alcobaça,Baixa Tensão,2022,4,30305.0,512.0,7283.0,283.0
Alcobaça,Baixa Tensão,2022,5,30317.0,514.0,7323.0,282.0
