ano,mes,energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_iluminacao_publica_alta_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2023,7,2132430,18656982,4926,0,60,0,983,64,31,0,7896,2
2023,8,2064467,17363158,4927,0,60,0,984,66,31,0,8068,2
2023,9,1757544,15431437,4932,0,60,0,986,66,30,0,8122,2
2023,10,1681641,15601914,4926,0,60,0,986,66,30,0,9100,2
2023,11,1654720,14139751,4933,0,60,0,986,66,31,0,9216,2
2023,12,1987027,14280745,4938,0,60,0,984,66,31,0,9442,2
2024,1,886747,199708,4933,0,60,0,983,66,30,0,9718,2
2022,8,26182685,15233759,95992,0,530,0,18431,130,607,0,129514,42
2022,9,25134989,13465518,96053,0,530,0,18457,130,600,0,132214,44
2022,10,26126288,13129118,96105,0,530,0,18477,130,594,0,136290,40
2022,11,27330595,12854437,96142,0,530,0,18492,132,608,0,133788,42
2022,12,30891973,14042057,96146,0,530,0,18518,133,621,0,136330,44
2023,1,33813566,14113759,96238,0,530,0,18544,133,599,0,137576,42
2023,2,30541472,13154489,96285,0,530,0,18568,134,601,0,143650,48
2023,3,29192614,13608758,96299,0,530,0,18583,132,602,0,143972,52
2023,4,25245320,12561456,96299,0,530,0,18583,132,602,0,145188,52
2023,5,25695110,13780463,96299,0,530,0,18583,132,602,0,141094,52
2023,6,25893621,13643200,96518,0,531,0,18655,131,612,0,152552,54
2023,7,27273855,14012158,96588,0,531,0,18669,131,613,0,154490,56
2023,8,27525937,15129317,96604,0,531,0,18692,131,594,0,154478,62
2023,9,26128280,13236820,96620,0,531,0,18700,131,588,0,160786,62
2023,10,27421411,12838982,96653,0,531,0,18716,131,586,0,163074,66
2023,11,28653129,11196092,96676,0,531,0,18726,130,598,0,164928,72
2023,12,34736039,14037336,96661,0,531,0,18714,130,595,0,170978,76
2024,1,15524804,2144984,96716,0,531,0,18712,130,566,0,170750,84
2022,8,1244932,199005,5714,0,125,0,1099,37,13,0,5300,2
2022,9,1100919,166816,5711,0,125,0,1098,37,12,0,5348,2
2022,10,1172571,178631,5714,0,125,0,1101,37,13,0,5748,2
2022,11,1328157,196239,5711,0,125,0,1101,37,13,0,6004,2
2022,12,1563913,205717,5711,0,125,0,1104,37,15,0,5980,4
2023,1,1635913,211282,5706,0,125,0,1112,37,12,0,6714,4
2023,2,1440074,184682,5714,0,125,0,1111,37,11,0,7240,4
2023,3,1381324,174068,5713,0,125,0,1109,37,11,0,7886,4
2023,4,1147200,163121,5713,0,125,0,1109,37,11,0,8132,4
2023,5,1079309,176946,5713,0,125,0,1109,37,11,0,8388,4
2023,6,1049616,181261,5724,0,127,0,1115,37,11,0,8462,4
2023,7,1161426,199573,5730,0,127,0,1116,37,13,0,9344,4
2023,8,1260993,198488,5737,0,127,0,1114,37,11,0,9690,4
2023,9,1116640,171614,5731,0,127,0,1115,37,9,0,9640,4
2023,10,1237776,186567,5735,0,127,0,1115,37,9,0,10482,4
2023,11,1425103,178513,5738,0,127,0,1114,37,9,0,11090,4
2023,12,1718108,180035,5737,0,127,0,1114,37,13,0,11380,4
