concelho,ano,mes,inclui_mobilidade_eletrica,cpes_com_dcs_recolhidos_quantidade
Alenquer,2022,8,Sim,2
Alenquer,2022,9,Não,16560
Alenquer,2022,9,Sim,2
Alenquer,2022,10,Não,16962
Alenquer,2022,10,Sim,2
Alenquer,2022,11,Não,16754
Alenquer,2022,11,Sim,2
Alenquer,2022,12,Não,17236
Alenquer,2022,12,Sim,2
Alenquer,2023,1,Não,17440
Alenquer,2023,1,Sim,2
Alenquer,2023,2,Não,18204
Alenquer,2023,2,Sim,2
Alenquer,2023,3,Não,18807
Alenquer,2023,3,Sim,2
Alenquer,2023,4,Não,18573
Alenquer,2023,4,Sim,2
Alenquer,2023,5,Não,17857
Alenquer,2023,5,Sim,2
Alenquer,2023,6,Não,19505
Alenquer,2023,6,Sim,2
Alenquer,2023,7,Não,19308
Alenquer,2023,7,Sim,2
Alenquer,2023,8,Não,19800
Alenquer,2023,8,Sim,2
Alenquer,2023,9,Não,20530
Alenquer,2023,9,Sim,2
Alenquer,2023,10,Não,21015
Alenquer,2023,10,Sim,3
Alenquer,2023,11,Não,21323
Alenquer,2023,11,Sim,3
Alenquer,2023,12,Não,21422
Alenquer,2023,12,Sim,3
Alenquer,2024,1,Não,20990
Alenquer,2024,1,Sim,3
Alenquer,2024,2,Não,21639
Alenquer,2024,2,Sim,3
Alenquer,2024,3,Não,21168
Alenquer,2024,3,Sim,4
Alenquer,2024,4,Não,21220
Alenquer,2024,4,Sim,4
Alfândega da Fé,2022,8,Não,3371
Alfândega da Fé,2022,8,Sim,1
Alfândega da Fé,2022,9,Não,3404
Alfândega da Fé,2022,9,Sim,1
Alfândega da Fé,2022,10,Não,3382
Alfândega da Fé,2022,10,Sim,1
Alfândega da Fé,2022,11,Não,3369
Alfândega da Fé,2022,11,Sim,1
Alfândega da Fé,2022,12,Não,3450
Alfândega da Fé,2022,12,Sim,1
Alfândega da Fé,2023,1,Não,3426
Alfândega da Fé,2023,1,Sim,1
Alfândega da Fé,2023,2,Não,3467
Alfândega da Fé,2023,2,Sim,1
Alfândega da Fé,2023,3,Não,3483
Alfândega da Fé,2023,3,Sim,1
Alfândega da Fé,2023,4,Não,3454
Alfândega da Fé,2023,4,Sim,1
Alfândega da Fé,2023,5,Não,3406
Alfândega da Fé,2023,5,Sim,1
Alfândega da Fé,2023,6,Não,3393
Alfândega da Fé,2023,6,Sim,1
Alfândega da Fé,2023,7,Não,3412
Alfândega da Fé,2023,7,Sim,1
Alfândega da Fé,2023,8,Não,3435
Alfândega da Fé,2023,8,Sim,1
Alfândega da Fé,2023,9,Não,3416
Alfândega da Fé,2023,9,Sim,1
Alfândega da Fé,2023,10,Não,3393
Alfândega da Fé,2023,10,Sim,1
Alfândega da Fé,2023,11,Não,3095
Alfândega da Fé,2023,11,Sim,1
Alfândega da Fé,2023,12,Não,3328
Alfândega da Fé,2023,12,Sim,1
Alfândega da Fé,2024,1,Não,3504
Alfândega da Fé,2024,1,Sim,1
Alfândega da Fé,2024,2,Não,3506
Alfândega da Fé,2024,2,Sim,1
Alfândega da Fé,2024,3,Não,3404
Alfândega da Fé,2024,3,Sim,1
Alfândega da Fé,2024,4,Não,3497
Alfândega da Fé,2024,4,Sim,1
Alijó,2022,8,Não,3480
Alijó,2022,8,Sim,1
Alijó,2022,9,Não,3310
Alijó,2022,9,Sim,1
Alijó,2022,10,Não,3473
Alijó,2022,10,Sim,1
Alijó,2022,11,Não,3436
Alijó,2022,11,Sim,1
Alijó,2022,12,Não,3531
Alijó,2022,12,Sim,1
Alijó,2023,1,Não,3619
Alijó,2023,1,Sim,1
Alijó,2023,2,Não,3675
Alijó,2023,2,Sim,1
Alijó,2023,3,Não,3694
Alijó,2023,3,Sim,1
Alijó,2023,4,Não,3673
Alijó,2023,4,Sim,1
Alijó,2023,5,Não,3364
Alijó,2023,5,Sim,1
Alijó,2023,6,Não,3281
Alijó,2023,6,Sim,1
Alijó,2023,7,Não,3415
Alijó,2023,7,Sim,1
Alijó,2023,8,Não,3497
Alijó,2023,8,Sim,1
Alijó,2023,9,Não,3318
Alijó,2023,9,Sim,1
Alijó,2023,10,Não,3557
Alijó,2023,10,Sim,1
Alijó,2023,11,Não,3380
Alijó,2023,11,Sim,1
Alijó,2023,12,Não,3406
Alijó,2023,12,Sim,1
Alijó,2024,1,Não,3637
Alijó,2024,1,Sim,1
Alijó,2024,2,Não,4192
Alijó,2024,2,Sim,1
Alijó,2024,3,Não,4608
Alijó,2024,3,Sim,1
Alijó,2024,4,Não,4572
Alijó,2024,4,Sim,1
Aljezur,2022,8,Não,2076
Aljezur,2022,8,Sim,1
Aljezur,2022,9,Não,1789
Aljezur,2022,9,Sim,1
Aljezur,2022,10,Não,1995
Aljezur,2022,10,Sim,1
Aljezur,2022,11,Não,2199
Aljezur,2022,11,Sim,1
Aljezur,2022,12,Não,2298
Aljezur,2022,12,Sim,1
Aljezur,2023,1,Não,2688
Aljezur,2023,1,Sim,1
Aljezur,2023,2,Não,2775
Aljezur,2023,2,Sim,1
Aljezur,2023,3,Não,2953
Aljezur,2023,3,Sim,1
Aljezur,2023,4,Não,2953
Aljezur,2023,4,Sim,1
Aljezur,2023,5,Não,3109
Aljezur,2023,5,Sim,1
Aljezur,2023,6,Não,3401
Aljezur,2023,6,Sim,1
Aljezur,2023,7,Não,3619
Aljezur,2023,7,Sim,1
Aljezur,2023,8,Não,3326
Aljezur,2023,8,Sim,1
Aljezur,2023,9,Não,3660
Aljezur,2023,9,Sim,1
Aljezur,2023,10,Não,3898
Aljezur,2023,10,Sim,1
Aljezur,2023,11,Não,4143
Aljezur,2023,11,Sim,1
Aljezur,2023,12,Não,4250
Aljezur,2023,12,Sim,1
Aljezur,2024,1,Não,3978
Aljezur,2024,1,Sim,1
Aljezur,2024,2,Não,4238
Aljezur,2024,2,Sim,1
Aljezur,2024,3,Não,4323
Aljezur,2024,3,Sim,1
Aljezur,2024,4,Não,4278
Aljezur,2024,4,Sim,1
Aljustrel,2022,8,Não,3485
Aljustrel,2022,8,Sim,1
Aljustrel,2022,9,Não,3503
Aljustrel,2022,9,Sim,1
Aljustrel,2022,10,Não,3285
Aljustrel,2022,10,Sim,1
Aljustrel,2022,11,Não,3600
Aljustrel,2022,11,Sim,1
Aljustrel,2022,12,Não,3581
Aljustrel,2022,12,Sim,1
Aljustrel,2023,1,Não,3553
Aljustrel,2023,1,Sim,1
Aljustrel,2023,2,Não,3931
Aljustrel,2023,2,Sim,1
Aljustrel,2023,3,Não,3896
Aljustrel,2023,3,Sim,1
Aljustrel,2023,4,Não,3945
Aljustrel,2023,4,Sim,1
Aljustrel,2023,5,Não,3779
Aljustrel,2023,5,Sim,1
Aljustrel,2023,6,Não,4040
Aljustrel,2023,6,Sim,1
Aljustrel,2023,7,Não,3948
Aljustrel,2023,7,Sim,1
Aljustrel,2023,8,Não,4034
Aljustrel,2023,8,Sim,1
Aljustrel,2023,9,Não,4061
Aljustrel,2023,9,Sim,1
Aljustrel,2023,10,Não,4550
Aljustrel,2023,10,Sim,1
Aljustrel,2023,11,Não,4608
Aljustrel,2023,11,Sim,1
Aljustrel,2023,12,Não,4721
Aljustrel,2023,12,Sim,1
Aljustrel,2024,1,Não,4859
Aljustrel,2024,1,Sim,1
