energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
8923139,0,217,0,29,0,180
38732345,0,220,0,29,0,180
41762818,0,220,0,29,0,180
41849213,0,220,0,29,0,180
36876287,0,220,0,29,0,180
37530373,0,220,0,29,0,180
35939895,0,223,0,29,0,180
35755673,0,223,0,29,0,180
138818,0,15,0,52,1,40
136934,0,15,0,52,1,40
138049,0,15,0,52,1,40
136863,0,15,0,52,1,40
143500,0,15,0,52,1,40
150363,0,15,0,52,1,40
131860,0,15,0,52,1,40
134347,0,15,0,52,1,40
122842,0,15,0,52,1,40
132461,0,15,0,52,1,40
140567,0,15,0,52,1,40
145956,0,15,0,52,1,40
142517,0,15,0,52,1,40
128679,0,15,0,52,1,40
142095,0,15,0,52,1,40
128503,0,15,0,52,1,40
122773,0,15,0,52,1,40
11429914,0,226,0,60,0,134
10659885,0,226,0,60,0,134
8009664,0,227,0,60,0,134
5793995,0,228,0,60,0,134
5371553,0,228,0,60,0,134
5759677,0,226,0,60,0,134
5419903,0,225,0,60,0,134
6068122,0,225,0,60,0,134
5772525,0,225,0,60,0,134
6598687,0,225,0,60,0,134
7025099,0,226,0,60,0,134
9117053,0,227,0,60,0,134
12918286,0,227,0,60,0,134
11932203,0,227,0,60,0,134
7622176,0,227,0,60,0,134
5668442,0,226,0,60,0,134
5529563,0,227,0,60,0,134
2354920,0,60,0,146,1,89
2683863,0,60,0,146,1,89
2468334,0,60,0,146,1,89
2086711,0,60,0,146,1,89
2003419,0,60,0,146,1,89
1710345,0,60,0,146,1,89
1349148,0,60,0,146,1,89
1291760,0,60,0,146,1,89
1132057,0,60,0,146,1,89
1046524,0,60,0,146,1,89
1066640,0,59,0,146,1,89
1101485,0,59,0,146,1,89
2279763,0,59,0,146,1,89
2562131,0,59,0,146,1,89
2426715,0,59,0,146,1,89
2102424,0,59,0,146,1,89
1958726,0,59,0,146,1,89
626715,0,51,0,44,5,64
726631,0,51,0,44,5,64
647602,0,51,0,44,5,64
592768,0,52,0,44,5,64
631820,0,52,0,44,5,64
726055,0,52,0,44,5,64
638999,0,52,0,44,5,64
634351,0,52,0,44,5,64
559322,0,52,0,44,5,64
629636,0,52,0,44,5,64
608508,0,50,0,44,5,64
670128,0,50,0,44,5,64
705193,0,51,0,44,5,64
744809,0,51,0,44,5,64
603736,0,50,0,44,5,64
550973,0,50,0,44,5,64
550432,0,50,0,44,5,64
504254,0,25,0,15,4,39
591503,0,25,0,15,4,39
606789,0,25,0,15,4,39
536442,0,25,0,15,4,39
417271,0,25,0,15,4,39
589583,0,25,0,15,4,39
572556,0,25,0,15,4,39
674220,0,25,0,15,4,39
574462,0,25,0,15,4,39
654576,0,25,0,15,4,39
660288,0,25,0,15,4,39
616252,0,26,0,15,4,39
490786,0,26,0,15,4,39
594439,0,26,0,15,4,39
602701,0,26,0,15,4,39
574764,0,26,0,15,4,39
435037,0,26,0,15,4,39
26398899,0,377,0,1071,17,1294
26739301,0,375,0,1071,17,1294
27845156,0,375,0,1071,17,1294
27085896,0,375,0,1071,17,1294
24897311,0,377,0,1071,17,1294
28640679,0,377,0,1071,17,1294
25648455,0,379,0,1071,17,1294
27861417,0,379,0,1071,17,1294
24825111,0,379,0,1071,17,1294
27273443,0,379,0,1071,17,1294
27987495,0,378,0,1071,17,1294
29004590,0,379,0,1071,17,1294
25975351,0,379,0,1071,17,1294
27377049,0,380,0,1071,17,1294
29524098,0,381,0,1071,17,1294
28427171,0,381,0,1071,17,1294
25976568,0,381,0,1071,17,1294
3762428,0,88,0,30,6,150
3460728,0,88,0,30,6,150
3655529,0,89,0,30,6,150
4039106,0,89,0,30,6,150
4135006,0,89,0,30,6,150
4428239,0,89,0,30,6,150
3808239,0,89,0,30,6,150
3858738,0,89,0,30,6,150
3275528,0,89,0,30,6,150
