energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
668569,2991,66,750,4,3846,2,27
719472,2993,66,752,4,3790,2,27
838201,2996,66,753,5,4112,2,27
832947,2993,66,753,2,3998,2,27
268966,2993,66,749,2,3660,2,27
1918904,7344,141,1189,29,3856,4,60
1800017,7349,141,1188,30,3718,4,60
1874715,7350,141,1186,27,4060,4,60
1921340,7356,141,1187,27,4148,4,60
2142220,7358,141,1185,26,4270,4,60
2227278,7371,141,1189,28,4372,4,60
1958778,7364,141,1191,25,4594,4,60
1933083,7361,141,1191,25,5128,4,60
1687286,7361,141,1191,25,5314,4,60
1695126,7361,141,1191,25,5404,4,60
1709484,7362,141,1189,26,5604,4,60
1807754,7375,141,1193,28,6040,4,60
1865368,7380,141,1195,24,5852,6,60
1781922,7380,141,1195,26,6550,6,60
1895456,7385,141,1198,22,7108,6,60
1987214,7385,141,1201,23,7066,6,60
2351620,7384,141,1201,25,7410,6,60
2324748,7383,141,1201,24,8160,6,60
791126,7375,143,1201,22,8804,6,60
10723545,27921,382,6405,310,17300,4,329
10241857,27935,382,6396,327,17318,4,329
10858850,27951,382,6397,338,17780,4,329
11602436,27983,382,6398,324,17632,4,329
13303301,27997,382,6405,358,18438,4,329
14100614,28026,382,6405,300,19200,4,329
12112089,28070,382,6417,292,20864,4,329
12145341,28102,382,6430,285,21736,4,329
10407335,28102,382,6430,285,23954,4,329
10278784,28102,382,6430,285,24892,4,329
10172674,28203,382,6474,275,26412,4,329
10711069,28245,382,6488,259,28564,4,329
10848143,28278,382,6499,252,29376,4,329
10349051,28293,382,6504,263,30598,4,329
11304785,28310,382,6508,273,32206,4,329
12416156,28374,384,6512,247,33534,4,329
15005046,28388,384,6515,283,34670,4,329
14817841,28416,384,6522,240,37882,6,329
4734903,28417,384,6508,244,41214,6,329
1118562,4642,111,1117,32,1926,2,54
1038142,4640,111,1116,34,1776,2,54
1075909,4646,111,1116,34,2250,2,54
1116158,4646,111,1115,36,2320,2,54
1220627,4643,111,1116,37,2326,2,54
1235448,4643,111,1116,37,2452,2,54
1092659,4639,111,1117,35,2682,2,54
1105553,4640,111,1120,33,3876,2,54
994917,4640,111,1120,33,4468,2,54
997265,4640,111,1120,33,4764,2,54
992596,4646,111,1129,31,5242,4,54
1118621,4660,111,1132,32,5640,4,54
1175497,4664,111,1133,31,5730,4,54
1061702,4667,111,1135,28,6076,2,54
1111902,4667,111,1138,29,6540,4,54
1185595,4660,111,1141,29,7416,4,54
1374303,4668,111,1143,27,9544,4,54
1308634,4668,112,1139,28,10056,4,54
442796,4672,112,1138,31,10334,4,54
1049112,4878,118,1367,18,5066,2,8
906258,4878,118,1368,16,5110,2,8
906512,4876,118,1370,16,5228,2,8
979612,4877,118,1371,18,5850,2,8
1161187,4874,118,1371,18,6044,2,8
1163786,4870,118,1370,16,6178,2,8
1014805,4872,118,1368,14,6454,2,8
985582,4867,118,1371,14,7074,2,8
827001,4867,118,1371,14,7316,2,8
809046,4867,118,1371,14,7218,2,8
835133,4878,118,1376,17,7522,2,8
968390,4885,118,1377,17,7648,2,8
1029558,4883,118,1381,19,7882,2,8
869997,4874,118,1383,17,8210,2,8
913052,4874,118,1383,15,8426,2,8
1010215,4869,118,1382,19,8440,2,8
1236474,4863,118,1380,22,8684,2,8
1187105,4865,118,1381,17,9662,2,8
372642,4858,118,1383,18,10266,2,8
513246,2316,54,398,9,1434,2,21
471155,2317,54,398,9,1440,2,21
500284,2319,54,402,9,1458,2,21
525651,2316,54,403,8,1442,2,21
572898,2316,54,402,9,1668,2,21
578244,2321,54,403,8,1796,2,21
518135,2324,54,405,7,1600,2,21
529006,2323,54,405,7,1910,2,21
464037,2323,54,405,7,2204,2,21
446117,2323,54,405,7,2394,2,21
438418,2322,54,407,11,2474,2,21
494371,2327,54,411,10,2584,2,21
515238,2327,54,411,11,2596,2,21
451792,2328,54,411,8,2558,2,21
504091,2325,54,410,8,2836,2,21
558043,2324,56,411,9,3454,2,21
631551,2321,56,416,9,3488,2,21
603663,2320,56,418,8,4090,2,21
196650,2317,57,417,7,4048,2,21
869844,3314,83,616,17,2248,2,41
848010,3319,83,616,31,2092,2,41
909844,3320,83,615,16,2646,2,41
958645,3315,83,616,16,2788,2,41
1100784,3315,83,617,17,3076,2,41
1196713,3313,83,618,14,3092,2,41
1026980,3310,83,620,13,3294,2,41
989009,3308,83,621,14,4000,2,41
839432,3308,83,621,14,4414,2,41
834202,3308,83,621,14,4380,2,41
813613,3322,83,624,19,4904,2,41
851021,3321,83,624,18,5004,2,41
878990,3329,83,623,20,5476,2,41
857994,3329,83,622,35,5528,2,41
950760,3329,83,626,17,5916,2,41
1075760,3324,83,630,21,6020,2,41
1287335,3327,83,633,21,6224,2,41
1227938,3333,83,632,17,6410,2,41
366752,3324,83,628,17,6496,2,41
5655561,19144,144,3887,159,20760,4,346
5192325,19141,144,3888,164,21378,4,346
5321377,19154,144,3889,162,22320,4,346
5288151,19162,144,3892,164,21714,4,346
5786325,19165,144,3895,161,22302,4,346
6031952,19168,144,3901,157,22414,4,346
5575724,19170,144,3909,159,23352,4,346
5731796,19175,144,3914,157,23530,4,346
5180010,19175,144,3914,157,24300,4,346
5245641,19175,144,3914,157,24512,4,346
5145172,19264,145,3946,155,25760,6,346
5685669,19275,145,3957,186,25314,6,346
5833892,19284,145,3957,153,26408,6,346
