energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
0.00180942,0.005337,0.0121,0.00941,0.0027,0.003578,0.002,0.0019
0.001830246,0.005335,0.0123,0.00944,0.0029,0.00399,0.002,0.0019
0.001830092,0.005343,0.0123,0.00951,0.0029,0.004398,0.002,0.0019
0.001952821,0.005348,0.0124,0.00954,0.0026,0.004596,0.002,0.0019
0.002113497,0.005354,0.0124,0.00956,0.0024,0.005376,0.002,0.0019
0.001933917,0.005354,0.0124,0.00956,0.0025,0.00555,0.002,0.0019
0.001945675,0.005352,0.0124,0.00957,0.0024,0.005906,0.002,0.0019
0.001693051,0.005352,0.0124,0.00957,0.0024,0.005906,0.002,0.0019
0.001684334,0.005352,0.0124,0.00957,0.0024,0.006218,0.002,0.0019
0.001663404,0.005397,0.0124,0.00961,0.0022,0.006802,0.002,0.0019
0.001832585,0.005412,0.0124,0.00964,0.0021,0.007238,0.002,0.0019
0.001933062,0.005415,0.0124,0.00968,0.002,0.006652,0.002,0.0019
0.001774839,0.005426,0.0124,0.0097,0.0019,0.00732,0.002,0.0019
0.001832901,0.005429,0.0124,0.00973,0.0023,0.007796,0.002,0.0019
0.001894625,0.00543,0.0125,0.00974,0.0021,0.008286,0.002,0.0019
0.002181532,0.005438,0.0125,0.00976,0.0023,0.0085,0.002,0.0019
0.001886361,0.004898,0.006,0.00977,0.0031,0.00697,0.002,0.0019
0.001633459,0.004905,0.006,0.00979,0.0029,0.007006,0.002,0.0019
0.001573818,0.004907,0.006,0.00976,0.0028,0.00657,0.002,0.0019
0.001563839,0.004908,0.006,0.00977,0.0029,0.0072,0.002,0.0019
0.001774946,0.004909,0.006,0.00977,0.0029,0.007162,0.002,0.0019
0.002004797,0.004915,0.006,0.00978,0.0028,0.007106,0.002,0.0019
0.001809016,0.00492,0.006,0.00976,0.0028,0.007862,0.002,0.0019
0.001775191,0.004919,0.006,0.00977,0.0028,0.007792,0.002,0.0019
0.001673484,0.004919,0.006,0.00977,0.0028,0.00789,0.002,0.0019
0.001789061,0.004919,0.006,0.00977,0.0028,0.007558,0.002,0.0019
0.001851266,0.004923,0.006,0.0098,0.0032,0.00808,0.002,0.0019
0.002132084,0.004926,0.006,0.00983,0.0031,0.007896,0.002,0.0019
0.002064936,0.004927,0.006,0.00984,0.0031,0.008068,0.002,0.0019
0.001759814,0.004932,0.006,0.00986,0.003,0.008122,0.002,0.0019
0.001684175,0.004926,0.006,0.00986,0.003,0.0091,0.002,0.0019
0.001655898,0.004933,0.006,0.00986,0.0031,0.009216,0.002,0.0019
0.001993436,0.004938,0.006,0.00984,0.0031,0.009442,0.002,0.0019
0.026184382,0.095992,0.053,0.18431,0.0607,0.129514,0.042,0.2544
0.025136951,0.096053,0.053,0.18457,0.06,0.132214,0.044,0.2544
0.026129997,0.096105,0.053,0.18477,0.0594,0.13629,0.04,0.2544
0.027331836,0.096142,0.053,0.18492,0.0608,0.133788,0.042,0.2544
0.030890679,0.096146,0.053,0.18518,0.0621,0.13633,0.044,0.2544
0.033813494,0.096238,0.053,0.18544,0.0599,0.137576,0.042,0.2544
0.030542274,0.096285,0.053,0.18568,0.0601,0.14365,0.048,0.2544
0.029195933,0.096299,0.053,0.18583,0.0602,0.143972,0.052,0.2544
0.025247139,0.096299,0.053,0.18583,0.0602,0.145188,0.052,0.2544
0.025699636,0.096299,0.053,0.18583,0.0602,0.141094,0.052,0.2544
0.025902884,0.096518,0.0531,0.18655,0.0612,0.152552,0.054,0.2544
0.027284652,0.096588,0.0531,0.18669,0.0613,0.15449,0.056,0.2544
0.027537642,0.096604,0.0531,0.18692,0.0594,0.154478,0.062,0.2544
0.026145332,0.09662,0.0531,0.187,0.0588,0.160786,0.062,0.2544
0.027467822,0.096653,0.0531,0.18716,0.0586,0.163074,0.066,0.2544
0.028757859,0.096676,0.0531,0.18726,0.0598,0.164928,0.072,0.2544
0.034921672,0.096661,0.0531,0.18714,0.0595,0.170978,0.076,0.2544
0.001244844,0.005714,0.0125,0.01099,0.0013,0.0053,0.002,0.0011
0.001100871,0.005711,0.0125,0.01098,0.0012,0.005348,0.002,0.0011
0.001172517,0.005714,0.0125,0.01101,0.0013,0.005748,0.002,0.0011
0.001327889,0.005711,0.0125,0.01101,0.0013,0.006004,0.002,0.0011
0.001563457,0.005711,0.0125,0.01104,0.0015,0.00598,0.004,0.0011
0.00163537,0.005706,0.0125,0.01112,0.0012,0.006714,0.004,0.0011
0.001439663,0.005714,0.0125,0.01111,0.0011,0.00724,0.004,0.0011
0.001381015,0.005713,0.0125,0.01109,0.0011,0.007886,0.004,0.0011
0.001147227,0.005713,0.0125,0.01109,0.0011,0.008132,0.004,0.0011
0.001080159,0.005713,0.0125,0.01109,0.0011,0.008388,0.004,0.0011
0.00105012,0.005724,0.0127,0.01115,0.0011,0.008462,0.004,0.0011
0.001161946,0.00573,0.0127,0.01116,0.0013,0.009344,0.004,0.0011
0.001261542,0.005737,0.0127,0.01114,0.0011,0.00969,0.004,0.0011
0.00111822,0.005731,0.0127,0.01115,0.0009,0.00964,0.004,0.0011
0.001244723,0.005735,0.0127,0.01115,0.0009,0.010482,0.004,0.0011
0.001431428,0.005738,0.0127,0.01114,0.0009,0.01109,0.004,0.0011
0.001730651,0.005737,0.0127,0.01114,0.0013,0.01138,0.004,0.0011
0.004751908,0.010177,0.0157,0.03532,0.0065,0.015,0.004,0.0101
0.003971111,0.010184,0.0157,0.03502,0.006,0.015008,0.004,0.0101
0.003768295,0.010197,0.0157,0.03478,0.006,0.015628,0.004,0.0101
0.003870583,0.010199,0.0157,0.03461,0.0061,0.015342,0.004,0.0101
0.004379525,0.010209,0.0157,0.03447,0.0059,0.01598,0.004,0.0101
0.004869942,0.01021,0.0157,0.03452,0.0057,0.015854,0.004,0.0101
0.004391166,0.010208,0.0157,0.03464,0.0059,0.016126,0.004,0.0101
0.004211248,0.010226,0.0157,0.03486,0.0058,0.016502,0.004,0.0101
0.003904385,0.010226,0.0157,0.03486,0.0058,0.01681,0.004,0.0101
0.004166687,0.010226,0.0157,0.03486,0.0058,0.01672,0.004,0.0101
0.004503265,0.010244,0.0157,0.03589,0.006,0.01752,0.004,0.0101
0.005042775,0.010243,0.0157,0.03598,0.0059,0.017376,0.004,0.0101
0.004947068,0.010245,0.0157,0.03595,0.0064,0.016834,0.004,0.0101
0.004111674,0.01025,0.0157,0.03578,0.0056,0.01698,0.004,0.0101
0.003955472,0.010259,0.0157,0.03551,0.0057,0.018174,0.004,0.0101
0.004095362,0.010259,0.0157,0.03541,0.0057,0.01846,0.004,0.0101
0.005130003,0.010267,0.0157,0.0354,0.0057,0.018844,0.004,0.0101
0.00125141,0.004292,0.0175,0.01165,0.0013,0.003796,0.002,0.0009
0.001158686,0.00429,0.0176,0.01166,0.0011,0.003574,0.002,0.0009
0.00121216,0.004287,0.0176,0.01165,0.0011,0.003962,0.002,0.0009
0.001260991,0.00429,0.0177,0.01164,0.0011,0.005248,0.002,0.0009
0.001434901,0.00429,0.0177,0.01165,0.0011,0.005126,0.002,0.0009
0.001574439,0.004293,0.0177,0.01168,0.0011,0.005762,0.0,0.0009
0.001426647,0.004298,0.0177,0.0117,0.0011,0.006072,0.002,0.0009
0.001322086,0.004297,0.0177,0.0117,0.0012,0.006612,0.002,0.0009
0.001127642,0.004296,0.0177,0.0117,0.0012,0.006634,0.002,0.0009
0.00114695,0.004296,0.0177,0.0117,0.0012,0.0066,0.002,0.0009
0.001176628,0.004312,0.0177,0.0117,0.0014,0.006736,0.002,0.0009
0.001311319,0.00431,0.0177,0.01177,0.0015,0.007052,0.002,0.0009
0.001341871,0.004312,0.0177,0.01181,0.0013,0.007174,0.002,0.0009
0.001204201,0.004313,0.0177,0.01182,0.0014,0.008216,0.002,0.0009
0.001249562,0.004312,0.0177,0.01182,0.0013,0.008612,0.002,0.0009
0.001331223,0.004316,0.0177,0.01183,0.0013,0.00887,0.002,0.0009
0.001606057,0.004317,0.0177,0.01184,0.0014,0.008864,0.002,0.0009
0.0018574,0.003261,0.0059,0.01187,0.0024,0.006816,0.002,0.0075
0.001376978,0.003261,0.0059,0.01145,0.0024,0.0074,0.002,0.0075
0.001232347,0.003268,0.0059,0.01118,0.0024,0.00749,0.002,0.0075
0.001262216,0.003273,0.0059,0.01105,0.0022,0.007182,0.002,0.0075
0.001449392,0.003277,0.0059,0.01097,0.0022,0.007566,0.002,0.0075
0.001598327,0.003281,0.0059,0.01096,0.0022,0.007472,0.002,0.0075
0.001446211,0.003279,0.0059,0.01099,0.0022,0.007658,0.002,0.0075
0.001406808,0.003287,0.0059,0.01103,0.0022,0.007686,0.002,0.0075
0.001352589,0.003287,0.0059,0.01103,0.0022,0.007472,0.002,0.0075
