energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
0.001239659,0,58,0,66,10,91
0.00098644,0,57,0,66,10,91
0.001104666,0,57,0,66,10,91
0.001130046,0,57,0,66,10,91
0.001464254,0,57,0,66,10,91
0.001553979,0,57,0,66,10,91
0.001525336,0,57,0,66,10,91
0.000923362,0,57,0,66,10,91
0.003568312,0,43,0,46,1,129
0.00473563,0,43,0,46,1,129
0.004688454,0,43,0,46,1,129
0.004484348,0,43,0,46,1,129
0.004179265,0,43,0,46,1,129
0.004392062,0,43,0,46,1,129
0.004315332,0,43,0,46,1,129
0.004854863,0,43,0,46,1,129
0.004144902,0,43,0,46,1,129
0.004356101,0,43,0,46,1,129
0.004470688,0,43,0,46,1,129
0.004309715,0,43,0,46,1,129
0.003523646,0,43,0,46,1,129
0.004801253,0,43,0,46,1,129
0.004744741,0,43,0,46,1,129
0.004526434,0,44,0,46,1,129
0.004094351,0,44,0,46,1,129
0.002622194,0,34,0,34,1,70
0.002480375,0,35,0,34,1,70
0.002612863,0,35,0,34,1,70
0.002406747,0,35,0,34,1,70
0.002291525,0,35,0,34,1,70
0.00236258,0,34,0,34,1,70
0.002227851,0,34,0,34,1,70
0.002444494,0,34,0,34,1,70
0.002424483,0,34,0,34,1,70
0.002681316,0,34,0,34,1,70
0.00177595,0,34,0,34,1,70
0.001766389,0,34,0,34,1,70
0.001756085,0,33,0,34,1,70
0.002453708,0,33,0,34,1,70
0.002251631,0,33,0,34,1,70
0.002564689,0,33,0,34,1,70
0.002428294,0,34,0,34,1,70
0.000697018,0,39,0,49,1,26
0.000674518,0,39,0,49,1,26
0.000743596,0,39,0,49,1,26
0.000676377,0,39,0,49,1,26
0.000678614,0,39,0,49,1,26
0.000666757,0,39,0,49,1,26
0.000573619,0,39,0,49,1,26
0.000567053,0,39,0,49,1,26
0.000506473,0,39,0,49,1,26
0.000503682,0,39,0,49,1,26
0.000517872,0,39,0,49,1,26
0.000551037,0,39,0,49,1,26
0.000634613,0,39,0,49,1,26
0.000779758,0,39,0,49,1,26
0.000985679,0,39,0,49,1,26
0.000915792,0,39,0,49,1,26
0.000877003,0,40,0,49,1,26
0.000828981,0,60,0,64,3,250
0.000999325,0,60,0,64,3,250
0.001083008,0,60,0,64,3,250
0.001059302,0,60,0,64,3,250
0.000874238,0,60,0,64,3,250
0.001169731,0,60,0,64,3,250
0.001045751,0,61,0,64,3,250
0.001044891,0,61,0,64,3,250
0.000906949,0,61,0,64,3,250
0.000926138,0,61,0,64,3,250
0.000979817,0,60,0,64,3,250
0.000867422,0,59,0,64,3,250
0.000759805,0,59,0,64,3,250
0.00091337,0,59,0,64,3,250
0.00106438,0,59,0,64,3,250
0.001091146,0,59,0,64,3,250
0.00096629,0,59,0,64,3,250
0.000773398,0,59,0,10,5,74
0.000660211,0,59,0,10,5,74
0.000600446,0,59,0,10,5,74
0.000556587,0,59,0,10,5,74
0.000601384,0,59,0,10,5,74
0.00063141,0,58,0,10,5,74
0.000554541,0,59,0,10,5,74
0.000599128,0,59,0,10,5,74
0.000561569,0,59,0,10,5,74
0.000615875,0,59,0,10,5,74
0.000669026,0,61,0,10,5,74
0.000841112,0,61,0,10,5,74
0.000850957,0,61,0,10,5,74
0.000691611,0,61,0,10,5,74
0.000664828,0,62,0,10,5,74
0.000625896,0,62,0,10,5,74
0.000606238,0,62,0,10,5,74
1.8084e-05,0,12,0,9,0,9
1.4408e-05,0,12,0,9,0,9
