ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
2023,10,0.00 - 3349844.95,0,17,0,39,1,60
2023,11,0.00 - 3349844.95,0,17,0,39,1,60
2023,12,0.00 - 3349844.95,0,17,0,39,1,60
2022,8,0.00 - 3349844.95,0,33,0,9,0,16
2022,9,0.00 - 3349844.95,0,33,0,9,0,16
2022,10,0.00 - 3349844.95,0,33,0,9,0,16
2022,11,0.00 - 3349844.95,0,33,0,9,0,16
2022,12,0.00 - 3349844.95,0,33,0,9,0,16
2023,1,0.00 - 3349844.95,0,33,0,9,0,16
2023,2,0.00 - 3349844.95,0,34,0,9,0,16
2023,3,0.00 - 3349844.95,0,35,0,9,0,16
2023,4,0.00 - 3349844.95,0,35,0,9,0,16
2023,5,0.00 - 3349844.95,0,35,0,9,0,16
2023,6,0.00 - 3349844.95,0,41,0,9,0,16
2023,7,0.00 - 3349844.95,0,43,0,9,0,16
2023,8,0.00 - 3349844.95,0,43,0,9,0,16
2023,9,0.00 - 3349844.95,0,44,0,9,0,16
2023,10,0.00 - 3349844.95,0,44,0,9,0,16
2023,11,0.00 - 3349844.95,0,44,0,9,0,16
2023,12,0.00 - 3349844.95,0,44,0,9,0,16
2022,8,18073778.11 - 27864901.18,0,133,0,7310,1,423
2022,9,18073778.11 - 27864901.18,0,133,0,7310,1,423
2022,10,18073778.11 - 27864901.18,0,133,0,7310,1,423
2022,11,18073778.11 - 27864901.18,0,133,0,7310,1,423
2022,12,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,1,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,2,9260857.23 - 18073778.11,0,133,0,7310,1,423
2023,3,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,4,9260857.23 - 18073778.11,0,133,0,7310,1,423
2023,5,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,6,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,7,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,8,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,9,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,10,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,11,18073778.11 - 27864901.18,0,133,0,7310,1,423
2023,12,18073778.11 - 27864901.18,0,133,0,7310,1,423
2022,8,0.00 - 3349844.95,0,119,0,173,3,427
2022,9,0.00 - 3349844.95,0,119,0,173,3,427
2022,10,0.00 - 3349844.95,0,119,0,173,3,427
2022,11,0.00 - 3349844.95,0,119,0,173,3,427
2022,12,0.00 - 3349844.95,0,121,0,173,3,427
2023,1,0.00 - 3349844.95,0,121,0,173,3,427
2023,2,0.00 - 3349844.95,0,122,0,173,3,427
2023,3,0.00 - 3349844.95,0,122,0,173,3,427
